LMP8760,gas8760
-4.7076,2.851
4.8483,2.851
1.3237,2.851
11.763,2.851
11.0054,2.851
11.0328,2.851
13.0207,2.851
19.1114,2.851
29.3752,2.851
34.7744,2.851
21.9123,2.851
25.621,2.851
25.0939,2.851
18.2238,2.851
2.7703,2.851
-7.5305,2.851
-10.4561,2.851
-19.8909,2.851
-26.6751,2.851
-19.365,2.851
7.0954,2.851
5.6523,2.851
3.8025,2.851
-2.1258,2.851
-5.4768,2.851
6.9674,2.851
7.0902,2.851
11.8603,2.851
9.9375,2.851
19.9852,2.851
65.6893,2.851
24.3558,2.851
22.956,2.851
20.7582,2.851
16.7424,2.851
12.915,2.851
14.821,2.851
13.5782,2.851
12.9945,2.851
10.936,2.851
7.3745,2.851
12.0497,2.851
14.9887,2.851
5.9823,2.851
-7.0963,2.851
4.099,2.851
3.6164,2.851
0.5315,2.851
6.0691,2.851
11.7074,2.851
13.8224,2.851
16.6918,2.851
16.442,2.851
26.0309,2.851
24.9849,2.851
27.7596,2.851
41.2233,2.851
25.4241,2.851
22.6561,2.851
18.9133,2.851
17.8567,2.851
20.3151,2.851
18.2194,2.851
22.7859,2.851
16.7822,2.851
14.2222,2.851
13.0186,2.851
12.0884,2.851
9.7299,2.851
6.6366,2.851
-5.4167,2.851
4.5999,2.851
11.1277,2.851
10.4293,2.851
12.1126,2.851
16.9669,2.851
18.0013,2.851
18.0512,2.851
17.1264,2.851
18.5163,2.851
19.1219,2.851
23.568,2.851
24.3788,2.851
21.3198,2.851
18.4543,2.851
12.3317,2.851
1.8304,2.851
4.651,2.851
2.094,2.851
-1.259,2.851
-7.5671,2.851
-0.1641,2.851
0.3439,2.851
0.4185,2.851
-1.6309,2.851
1.0263,2.851
8.1454,2.851
-2.0492,2.851
-3.3016,2.851
-13.6738,2.851
-19.9276,2.851
-17.4751,2.851
-8.7423,2.851
-22.2763,2.851
-22.4919,2.851
-15.6914,2.851
-15.4918,2.851
-6.5933,2.851
5.567,2.851
20.6452,2.851
18.8129,2.851
18.5584,2.851
22.3234,2.851
18.1177,2.851
18.2678,2.851
19.0332,2.851
