year,time,zone,location,existingresource,nameplateMWh,solarMWh,windMWh,batteriesMWh,natgasMWh,LMP8760,gas8760
2021,258,WCO,Carousel,wind,150,31.5,122.85,,,111.3447,3.062
2021,259,WCO,Carousel,wind,150,26.25,52.65,,,20.5897,3.062
2021,260,WCO,Carousel,wind,150,26.25,52.65,,,21.5115,3.062
2021,261,WCO,Carousel,wind,150,0,52.65,,,27.045,3.062
2021,262,WCO,Carousel,wind,150,0,52.65,,,18.6999,3.062
2021,263,WCO,Carousel,wind,150,0,52.65,,,17.6297,3.062
2021,264,WCO,Carousel,wind,150,0,52.65,,,18.2238,3.062
2021,265,WCO,Carousel,wind,150,0,78.975,,,11.7603,3.062
2021,266,WCO,Carousel,wind,150,0,78.975,,,11.6337,3.062
2021,267,WCO,Carousel,wind,150,0,78.975,,,11.7109,3.062
2021,268,WCO,Carousel,wind,150,0,78.975,,,11.1005,3.062
2021,269,WCO,Carousel,wind,150,0,78.975,,,8.1151,3.062
2021,270,WCO,Carousel,wind,150,0,78.975,,,9.3225,3.062
2021,271,WCO,Carousel,wind,150,0,96.525,,,12.1486,3.062
2021,272,WCO,Carousel,wind,150,26.25,96.525,,,6.9492,3.062
2021,273,WCO,Carousel,wind,150,31.5,96.525,,,7.2424,3.062
2021,274,WCO,Carousel,wind,150,42,96.525,,,5.3302,3.062
2021,275,WCO,Carousel,wind,150,47.25,96.525,,,8.5492,3.062
2021,276,WCO,Carousel,wind,150,52.5,96.525,,,11.5702,3.062
2021,277,WCO,Carousel,wind,150,47.67,122.85,,,12.4277,3.062
2021,278,WCO,Carousel,wind,150,52.5,122.85,,,15.4292,3.062
2021,279,WCO,Carousel,wind,150,47.25,122.85,,,14.7858,3.062
2021,280,WCO,Carousel,wind,150,42,122.85,,,13.1801,3.062
2021,281,WCO,Carousel,wind,150,31.5,122.85,,,13.3392,3.062
2021,282,WCO,Carousel,wind,150,31.5,122.85,,,14.7113,3.062
2021,283,WCO,Carousel,wind,150,26.25,52.65,,,14.7779,3.062
2021,284,WCO,Carousel,wind,150,26.25,52.65,,,15.0511,3.062
2021,285,WCO,Carousel,wind,150,0,52.65,,,16.8042,3.062
2021,286,WCO,Carousel,wind,150,0,52.65,,,103.1856,3.062
2021,287,WCO,Carousel,wind,150,0,52.65,,,21.8025,3.062
2021,288,WCO,Carousel,wind,150,0,52.65,,,19.0294,3.062
2021,289,WCO,Carousel,wind,150,0,78.975,,,18.603,3.062
2021,290,WCO,Carousel,wind,150,0,78.975,,,16.5984,3.062
2021,291,WCO,Carousel,wind,150,0,78.975,,,15.4854,3.062
